"","document","topic","gamma"
"1","1_1818_Я_ЯВ_nc_core",1,0.0596774193548387
"2","10_1820_Я_Я64_canon_core",1,0.239795918367347
"3","100_1825_Я_Я6_canon_core",1,0.0163398692810458
"4","101_1825_Я_Я4_canon_core",1,0.25
"5","102_1825_Я_Я4_nc_core",1,0.128571428571429
"6","103_1825_Я_Я4_nc_core",1,0.144444444444444
"7","104_1825_Я_Я4_nc_core",1,0.396551724137931
"8","105_1826_Х_Х4_nc_core",1,0.568493150684932
"9","11_1820_Я_ЯВ_canon_core",1,0.156593406593407
"10","112_1824_Я_Я4_canon_core",1,0.0803571428571429
"11","113_1824_Я_Я4_nc_core",1,0.478723404255319
"12","114_1824_Я_Я4_nc_core",1,0.102898550724638
"13","115_1824_Я_Я6664_nc_core",1,0.170682730923695
"14","116_1824_Я_Я6_nc_core",1,0.0815384615384615
"15","117_1827_Амф_Амф5_nc_core",1,0.0574229691876751
"16","119_1826_Я_Я4_canon_core",1,0.0234375
"17","12_1820_Я_Я65_nc_core",1,0.00553097345132743
"18","120_1826_Амф_Амф4_nc_core",1,0.0482625482625483
"19","121_1826_Я_Я4_nc_core",1,0.0102040816326531
"20","122_1824_Я_Я6663_nc_core",1,0.168604651162791
"21","123_1824_Я_ЯВ_nc_core",1,0.183035714285714
"22","124_1824_Я_Я6_nc_core",1,0.139344262295082
"23","127_1830_Я_Я4_nc_core",1,0.00337837837837838
"24","128_1830_Я_Я4_nc_core",1,0.121794871794872
"25","129_1829_Я_Я5_nc_core",1,0.0151098901098901
"26","13_1820_Я_Я4_nc_core",1,0.00285714285714286
"27","130_1834_Я_ЯВ_nc_core",1,0.0147058823529412
"28","131_1827_Я_ЯВ_nc_core",1,0.210982658959538
"29","132_1827_Я_Я4_nc_core",1,0.280172413793103
"30","133_1828_Я_Я5_nc_core",1,0.271428571428571
"31","134_1830_Я_Я4_canon_core",1,0.0272727272727273
"32","135_1830_Я_Я4_nc_core",1,0.05
"33","136_1830_Я_Я6_nc_core",1,0.0217391304347826
"34","137_1830_Я_Я4_nc_core",1,0.00847457627118644
"35","138_1826_Я_Я6_nc_core",1,0.156779661016949
"36","139_1826_Я_ЯВ_nc_core",1,0.133223684210526
"37","14_1820_Я_Я5_nc_core",1,0.164285714285714
"38","142_1826_Я_ЯВ_nc_core",1,0.0421686746987952
"39","143_1826_Я_Я4_nc_core",1,0.0564516129032258
"40","146_1825_Амф_Амф4_nc_core",1,0.00197628458498024
"41","147_1825_Я_Я4_nc_core",1,0.18125
"42","148_1825_Я_ЯВ_nc_core",1,0.267647058823529
"43","149_1825_Амф_Амф4_nc_core",1,0.00675675675675676
"44","15_1820_Х_Х4_nc_core",1,0.0387931034482759
"45","150_1825_Я_Я3_nc_core",1,0.04375
"46","152_1815_Я_Я6_nc_core",1,0.0974304068522484
"47","154_1815_Я_ЯВ_nc_core",1,0.00186567164179104
"48","155_1816_Я_Я6_nc_core",1,0.0858747993579454
"49","156_1826_Я_Я4_nc_core",1,0.217741935483871
"50","157_1826_Х_Х4_nc_core",1,0.391666666666667
"51","16_1820_Я_Я4_nc_core",1,0.036
"52","160_1826_Я_Я4_nc_core",1,0.297619047619048
"53","161_1826_Я_Я4_nc_core",1,0.2875
"54","162_1815_Я_Я6_nc_core",1,0.0833333333333333
"55","165_1828_Я_Я6_nc_core",1,0.0848214285714286
"56","166_1822_Я_Я6_nc_core",1,0.077639751552795
"57","167_1828_Я_ЯВ_nc_core",1,0.172018348623853
"58","17_1821_Я_Я64_nc_core",1,0.0230352303523035
"59","170_1823_Я_ЯВ_nc_core",1,0.123885918003565
"60","172_1816_Я_Я6_nc_core",1,0.0573394495412844
"61","173_1815_Я_Я6664_nc_core",1,0.000759878419452888
"62","174_1819_Я_Я5_nc_core",1,0.143125
"63","175_1824_Я_Я6664_nc_core",1,0.0588942307692308
"64","18_1821_Я_ЯВ_nc_core",1,0.107758620689655
"65","19_1822_Я_Я4_nc_core",1,0.01
"66","2_1821_Я_Я6_nc_core",1,0.003125
"67","20_1822_Я_ЯВ_nc_core",1,0.10625
"68","200_1816_Я_Я4_nc_core",1,0.003125
"69","2003_1815_ъъ_ъъ_canon_corpuscanon",1,0.00228310502283105
"70","2004_1819_ъъ_ъъ_canon_corpuscanon",1,0.119375
"71","2006_1822_ъъ_ъъ_canon_corpuscanon",1,0.0190839694656489
"72","2009_1817_ъъ_ъъ_canon_corpuscanon",1,0.0363805970149254
"73","201_1816_Я_Я6_nc_core",1,0.000798722044728434
"74","2010_1819_ъъ_ъъ_canon_corpuscanon",1,0.169540229885057
"75","2011_1822_ъъ_ъъ_canon_corpuscanon",1,0.00292397660818713
"76","2012_1819_ъъ_ъъ_canon_corpuscanon",1,0.182847896440129
"77","2013_1820_ъъ_ъъ_canon_corpuscanon",1,0.108856088560886
"78","2014_1816_ъъ_ъъ_canon_corpuscanon",1,0.00232558139534884
"79","2015_1815_ъъ_ъъ_canon_corpuscanon",1,0.0309090909090909
"80","2016_1829_ъъ_ъъ_canon_corpuscanon",1,0.015
"81","2017_1816_ъъ_ъъ_canon_corpuscanon",1,0.0258620689655172
"82","2018_1819_ъъ_ъъ_canon_corpuscanon",1,0.00609756097560976
"83","2019_1823_ъъ_ъъ_canon_corpuscanon",1,0.00919117647058824
"84","202_1816_Я_ЯВ_nc_core",1,0.0953237410071942
"85","2020_1832_ъъ_ъъ_canon_corpuscanon",1,0.111940298507463
"86","2021_1817_ъъ_ъъ_canon_corpuscanon",1,0.00819672131147541
"87","2022_1819_ъъ_ъъ_canon_corpuscanon",1,0.130927835051546
"88","2023_1819_ъъ_ъъ_canon_corpuscanon",1,0.270061728395062
"89","2024_1831_ъъ_ъъ_canon_corpuscanon",1,0.308441558441558
"90","2025_1825_ъъ_ъъ_canon_corpuscanon",1,0.0670731707317073
"91","2026_1827_ъъ_ъъ_canon_corpuscanon",1,0.00625
"92","2027_1821_ъъ_ъъ_canon_corpuscanon",1,0.156716417910448
"93","2028_1822_ъъ_ъъ_canon_corpuscanon",1,0.123376623376623
"94","2029_1824_ъъ_ъъ_canon_corpuscanon",1,0.3125
"95","2030_1821_ъъ_ъъ_canon_corpuscanon",1,0.286407766990291
"96","2031_1830_ъъ_ъъ_canon_corpuscanon",1,0.0714285714285714
"97","2032_1823_ъъ_ъъ_canon_corpuscanon",1,0.122881355932203
"98","2033_1825_ъъ_ъъ_canon_corpuscanon",1,0.380434782608696
"99","2034_1825_ъъ_ъъ_canon_corpuscanon",1,0.0294117647058824
"100","2035_1825_ъъ_ъъ_canon_corpuscanon",1,0.00378787878787879
"101","2036_1824_ъъ_ъъ_canon_corpuscanon",1,0.0711538461538462
"102","2037_1828_ъъ_ъъ_canon_corpuscanon",1,0.193251533742331
"103","2038_1826_ъъ_ъъ_canon_corpuscanon",1,0.215976331360947
"104","2039_1831_ъъ_ъъ_canon_corpuscanon",1,0.157216494845361
"105","2040_1834_ъъ_ъъ_canon_corpuscanon",1,0.138095238095238
"106","2041_1817_ъъ_ъъ_canon_corpuscanon",1,0.20414201183432
"107","2042_1816_ъъ_ъъ_canon_corpuscanon",1,0.049618320610687
"108","2043_1816_ъъ_ъъ_canon_corpuscanon",1,0.125
"109","2044_1816_ъъ_ъъ_canon_corpuscanon",1,0.130165289256198
"110","2045_1816_ъъ_ъъ_canon_corpuscanon",1,0.265625
"111","2046_1816_ъъ_ъъ_canon_corpuscanon",1,0.181034482758621
"112","2047_1816_ъъ_ъъ_canon_corpuscanon",1,0.150887573964497
"113","2048_1816_ъъ_ъъ_canon_corpuscanon",1,0.0135135135135135
"114","2049_1816_ъъ_ъъ_canon_corpuscanon",1,0.18361581920904
"115","205_1815_Х_Х4_nc_core",1,0.00403225806451613
"116","2050_1816_ъъ_ъъ_canon_corpuscanon",1,0.00324675324675325
"117","2051_1816_ъъ_ъъ_canon_corpuscanon",1,0.116071428571429
"118","2052_1816_ъъ_ъъ_canon_corpuscanon",1,0.0423728813559322
"119","2053_1816_ъъ_ъъ_canon_corpuscanon",1,0.0128205128205128
"120","2054_1817_ъъ_ъъ_canon_corpuscanon",1,0.330188679245283
"121","2055_1822_ъъ_ъъ_canon_corpuscanon",1,0.212365591397849
"122","2056_1823_ъъ_ъъ_canon_corpuscanon",1,0.451807228915663
"123","2057_1824_ъъ_ъъ_canon_corpuscanon",1,0.0155555555555556
"124","2058_1828_ъъ_ъъ_canon_corpuscanon",1,0.154411764705882
"125","2059_1828_ъъ_ъъ_canon_corpuscanon",1,0.467391304347826
"126","206_1816_Я_Я6_nc_core",1,0.00257731958762887
"127","2060_1829_ъъ_ъъ_canon_corpuscanon",1,0.0206611570247934
"128","2061_1830_ъъ_ъъ_canon_corpuscanon",1,0.00549450549450549
"129","2062_1830_ъъ_ъъ_canon_corpuscanon",1,0.00581395348837209
"130","2063_1836_ъъ_ъъ_canon_corpuscanon",1,0.0354330708661417
"131","2064_1820_ъъ_ъъ_canon_corpuscanon",1,0.419871794871795
"132","2065_1820_ъъ_ъъ_canon_corpuscanon",1,0.0212355212355212
"133","2066_1821_ъъ_ъъ_canon_corpuscanon",1,0.340277777777778
"134","2067_1835_ъъ_ъъ_canon_corpuscanon",1,0.228021978021978
"135","2068_1828_ъъ_ъъ_canon_corpuscanon",1,0.310606060606061
"136","2069_1832_ъъ_ъъ_canon_corpuscanon",1,0.435810810810811
"137","2070_1835_ъъ_ъъ_canon_corpuscanon",1,0.11875
"138","2071_1824_ъъ_ъъ_canon_corpuscanon",1,0.0989583333333333
"139","2072_1824_ъъ_ъъ_canon_corpuscanon",1,0.147727272727273
"140","2073_1824_ъъ_ъъ_canon_corpuscanon",1,0.145161290322581
"141","2074_1825_ъъ_ъъ_canon_corpuscanon",1,0.201030927835052
"142","2075_1827_ъъ_ъъ_canon_corpuscanon",1,0.00675675675675676
"143","2076_1828_ъъ_ъъ_canon_corpuscanon",1,0.397435897435897
"144","2077_1829_ъъ_ъъ_canon_corpuscanon",1,0.122377622377622
"145","2078_1829_ъъ_ъъ_canon_corpuscanon",1,0.24468085106383
"146","2079_1829_ъъ_ъъ_canon_corpuscanon",1,0.318181818181818
"147","2080_1835_ъъ_ъъ_canon_corpuscanon",1,0.370588235294118
"148","2081_1833_ъъ_ъъ_canon_corpuscanon",1,0.142201834862385
"149","2082_1830_ъъ_ъъ_canon_corpuscanon",1,0.225
"150","2083_1834_ъъ_ъъ_canon_corpuscanon",1,0.0755813953488372
"151","209_1818_Я_Я6_nc_core",1,0.0303738317757009
"152","21_1822_Я_Я43_nc_core",1,0.199029126213592
"153","210_1818_Х_Х63_nc_core",1,0.167910447761194
"154","211_1818_Я_Я6_nc_core",1,0.0290322580645161
"155","212_1820_Я_Я4_nc_core",1,0.0928030303030303
"156","214_1824_Я_Я6_nc_core",1,0.12984496124031
"157","215_1824_Я_ЯВ_nc_core",1,0.00495049504950495
"158","216_1815_Я_Я6_nc_core",1,0.189102564102564
"159","217_1829_Я_ЯВ_nc_core",1,0.180851063829787
"160","218_1829_Я_Я4_nc_core",1,0.0520833333333333
"161","219_1829_Я_Я4_nc_core",1,0.00568181818181818
"162","22_1823_Я_Я4_nc_core",1,0.291044776119403
"163","220_1829_Я_Я4_nc_core",1,0.17
"164","221_1829_Я_ЯВ_nc_core",1,0.0704545454545455
"165","222_1829_Я_ЯВ_nc_core",1,0.0804195804195804
"166","224_1829_Я_Я4_nc_core",1,0.338235294117647
"167","226_1829_Я_Я4_nc_core",1,0.493243243243243
"168","227_1825_Я_Я6_nc_core",1,0.128923766816144
"169","228_1829_Я_Я4_nc_core",1,0.00793650793650794
"170","229_1830_Я_Я4_nc_core",1,0.0420560747663551
"171","23_1823_Я_ЯВ_nc_core",1,0.00241545893719807
"172","230_1830_Я_Я65_nc_core",1,0.014018691588785
"173","232_1831_Я_Я5_canon_core",1,0.133458646616541
"174","236_1830_Я_Я4_nc_core",1,0.0125
"175","237_1830_Я_Я4_nc_core",1,0.0871212121212121
"176","239_1824_Я_Я6_nc_core",1,0.0797665369649805
"177","24_1823_Я_Я4_nc_core",1,0.0286624203821656
"178","240_1825_Я_ЯВ_nc_core",1,0.160377358490566
"179","242_1825_Я_Я6_nc_core",1,0.337837837837838
"180","243_1825_Я_Я6664_nc_core",1,0.09375
"181","245_1821_Я_Я6_nc_core",1,0.15625
"182","248_1823_Я_Я6_nc_core",1,0.0597345132743363
"183","249_1824_Я_Я4_nc_core",1,0.254273504273504
"184","25_1823_Я_ЯВ_nc_core",1,0.218562874251497
"185","250_1818_Я_Я64646663_nc_core",1,0.0685975609756098
"186","251_1818_Я_ЯВ_nc_core",1,0.292056074766355
"187","252_1818_Я_ЯВ_nc_core",1,0.0375
"188","253_1818_Я_ЯВ_nc_core",1,0.0667215815485997
"189","254_1818_Амф_Амф4_nc_core",1,0.456521739130435
"190","255_1819_Я_Я4_canon_core",1,0.480392156862745
"191","256_1819_Я_Я4_nc_core",1,0.00292397660818713
"192","257_1819_Я_Я65_nc_core",1,0.142533936651584
"193","258_1819_Я_ЯВ_nc_core",1,0.192537313432836
"194","259_1819_Я_Я6_nc_core",1,0.0611702127659574
"195","26_1823_Я_Я4_canon_core",1,0.364406779661017
"196","260_1819_Я_Я66446343_nc_core",1,0.0207373271889401
"197","261_1820_Я_Я65_nc_core",1,0.0538277511961723
"198","262_1820_Я_Я6_nc_core",1,0.183962264150943
"199","263_1820_Амф_Амф4_nc_core",1,0.33974358974359
