id;Signature;Author;Title;First line;Year;Meter;Razmer;Razmer_wclaus;Genre subtitle;Source_name;Place;Year;Volume;Number;Page;Type;Перепечатки;Meter;Стоп;Клаузула;canon_ou_non;corpus
1;Д. Глебов;Глебов Д.П.;Елегия;Надеясь сердца грусть разлукой облегчить;1818;Я;ЯВ;ЯВмжмж;Из соч. Парни;ВЕ;NA;1818;Ч. 100;№ 15-16;193-195;per;С разночтениями повторно опубликовано: Глебов Д. Элегии и другие стихотворения. М., 1827. С. 60-63.;Я;В;мжмж;nc;core
2;Норов;Норов А.С.;Гермиона;О вы, хранимые Фетидой, Гальционы;1821;Я;Я6;Я6жмжм;Элегия в древнем вкусе. Подражание Андрею Шенье;ВЕ;NA;1821;Ч. 116;№ 2;106-10;per;NA;Я;6;жмжм;nc;core
3;Т. -;[Т.-];Елегия;Ах! Сбудутся ль когда надежды юных лет;1819;Я;Я6;Я6ммжж;NA;ВЕ;NA;1819;Ч. 106;№ 16;251-254;per;NA;Я;6;ммжж;nc;core
4;С. де Шаплет;Шаплет С.С.;Элегия;Промчались дни мои счастливы;1819;Я;ЯВ;ЯВжмжм;NA;Соревнователь;NA;1819;Ч. 7;Кн. 7;87-88;per;NA;Я;В;жмжм;nc;core
5;П.П.;Плетнев П. А.;Сельское утро;Осыпан пурпуром восточный неба край;1819;Я;Я65;Я65мжмж;Элегия;СО;NA;1819;Ч. 51;№ 4;176-178;per;NA;Я;65;мжмж;nc;core
6;П.П.;Плетнев П.А.;Судьба Андромахи;Ты фурию, Парис, супругою избрал;1819;Я;Я65;Я65мжмж;Элегия;СО;NA;1819;Ч. 53;№ 15;130-131;per;NA;Я;65;мжмж;nc;core
7;Петр Плетнев;Плетнев П.А.;Гробница Державина;Молчит угрюмый бор, одетый ночи мглой;1819;Я;Я65;Я65мжмж;Элегия;СО;NA;1819;Ч. 54;№ 25;273-275;per;NA;Я;65;мжмж;canon;core
8;П. Теряев;Теряев Павел;Кладбище;Бьет полночь! мертвая посвюду тишина;1820;Я;Я6;Я6мжмж;Элегия;Соревнователь;NA;1820;Ч. 12;Кн. 11;318-321;per;NA;Я;6;мжмж;nc;core
9;В. Кюхельбекер;Кюхельбекер В.К.;Элегия;Ясныя грезы от вас, о бессмертные жители Неба;1820;Эд;Эд;Эдбезрифм;NA;Соревнователь;NA;1820;Ч. 12;Кн. 11;209;per;NA;Эд;NA;безрифм;nc;core
10;Баратынский;Баратынский Е.А.;Весна;Мечты волшебные, вы скрылись от очей;1820;Я;Я64;Я64мжмж;Элегия;Соревнователь;NA;1820;Ч. 10;Кн. 4;88-89;per;NA;Я;64;мжмж;canon;core
11;NA;Пушкин А.С.;Элегия;Погасло дневное светило;1820;Я;ЯВ;ЯВнеурег;NA;СО;NA;1820;Ч. 65;№ 46;271-272;per;NA;Я;В;неурег;canon;core
12;Плетнев;Плетнев П.А.;К моей родине;Забуду ль в песнях я тебя родимый край;1820;Я;Я65;Я65мжмж;Элегия;СО;NA;1820;Ч. 59;№ 3;129-132;per;NA;Я;65;мжмж;nc;core
13;Ал. Н. р. Въ.;Норов А.С.;Прорицание;Затихла в роще Филомела;1820;Я;Я4;Я4неурег;Елегия (Подражание);ВЕ;NA;1820;NA;№ 13;3-5;per;NA;Я;4;неурег;nc;core
14;А. Сырох-въ;[А. Сырох-въ];Елегии жителя берегов Чернаго моря;Лишь сумраком оденутся поля;1820;Я;Я5;Я5мжмж;Посвящена И.М. Сумусю;ВЕ;NA;1820;NA;№ 20;264-265;per;NA;Я;5;мжмж;nc;core
15;А. Сырох-въ;[А. Сырох-въ];К морю;Понесите волны бурныя;1820;Х;Х4;Х4д;Елегии жителя берегов Чернаго моря (2-я);ВЕ;NA;1820;NA;№ 20;265-266;per;NA;Х;4;д;nc;core
16;Вас. Никоновъ;Никонов В.Я.;Елегия;Забыл меня Едвин жестокой;1820;Я;Я4;Я4неурег;NA;ВЕ;NA;1820;NA;№ 21;26-27;per;NA;Я;4;неурег;nc;core
17;М. Дмитриев;Дмитриев М.А.;Воспоминания;Я видел вас опять, родительски поля;1821;Я;Я64;Я64мжмж;Элегия;НЗ;NA;1821;Ч. 6;Июнь;243-241;per;NA;Я;64;мжмж;nc;core
18;А. Б-фъ;Бадульф Ф.И. (?);Разлука;Розалия, мой спутник неизменный;1821;Я;ЯВ;ЯВжмжм;Элегия;НЗ;NA;1821;Ч. 6;Июнь;242-243;per;NA;Я;В;жмжм;nc;core
19;Баратынский;Баратынский Е.А.;Разуверение;Не искушай меня без нужды;1822;Я;Я4;Я4жмжм;Элегия;НЛ;NA;1822;Кн. 1;№ 3;47;per;NA;Я;4;жмжм;nc;core
20;Князь Шаликов;Шаликов П.И.;Элегия на кончину Князя Д.Д. Цицианова;Сближенный времени всемощною рукой;1822;Я;ЯВ;ЯВмжмж;NA;НЛ;NA;1822;Кн. 1;№ 6;93-94;per;NA;Я;В;мжмж;nc;core
21;В.Р.;[В.Р.];Элегия;Почто несется скорби стон;1822;Я;Я43;Я43жмжм;NA;НЛ;NA;1822;Кн. 2;№ 26;206-207;per;NA;Я;43;жмжм;nc;core
22;А. Пушкин;Пушкин А.С.;Элегия;Увы! зачем она блистает;1823;Я;Я4;Я4жмжм;NA;НЛ;NA;1823;Кн. 3;№ 1;13-14;per;NA;Я;4;жмжм;nc;core
23;И. Козлов;Козлов И.И.;Сельская сиротка;Рассталась я с тяжелым сном;1823;Я;ЯВ;ЯВнеурег;Элегия;НЛ;NA;1823;Кн. 3;№ 8;126-128;per;NA;Я;В;неурег;nc;core
24;Баратынский;Баратынский Е.А.;Падение листьев;Поблекнули ковры полей;1823;Я;Я4;Я4неурег;NA;НЛ;NA;1823;Кн. 3;№ 12;186-187;per;NA;Я;4;неурег;nc;core
25;К.;Козлов И.И.;Вечерняя прогулка;Бывало, в юности моей;1823;Я;ЯВ;ЯВнеурег;Элегия;НЛ;NA;1823;Кн. 4;№ 23;159-160;per;NA;Я;В;неурег;nc;core
26;NA;Туманский В.И.;Элегия;Недолго радость окрыляет;1823;Я;Я4;Я4жмжм;NA;НЛ;NA;1823;Кн. 6;№ 43;62;per;NA;Я;4;жмжм;canon;core
27;-ов;Глебов Д.П.;Часовня;Нахмуряь облака, как мрачная завеса;1823;Я;Я66666664;Я66666664жмжм;Элегия;НЛ;NA;1823;Кн. 6;№ 44;76-78;per;Опубликовано с разночтениями: Глебов Д. Элегии и другие стихотворения. М., 1827. С. 12-16.;Я;66666664;жмжм;nc;core
28;А. Пушкин;Пушкин А.С.;Элегия;Я пережил свои желанья;1823;Я;Я4;Я4жмжм;NA;НЛ;NA;1823;Кн. 6;№ 48;144;per;NA;Я;4;жмжм;canon;core
29;Е. Баратынский;Баратынский Е.А.;Элегия;Ужели близок час свиданья;1820;Я;Я4;Я4неурег;NA;НЗ;NA;1820;Ч. 1;Январь;99-100;per;Повторно опубликовано:  СО. 1821. Ч. 6. № 7. С. 320-321.;Я;4;неурег;nc;core
